match_id,enemies_0,enemies_1,enemies_2,enemies_3,enemies_4,teammates_0,teammates_1,teammates_2,teammates_3,teammates_4,win
KR_6607605022,58,60,777,18,12,122,57,157,523,79,0
NA1_4721718314,517,121,147,895,12,58,526,61,523,888,1
EUW1_6508404181,897,203,103,429,12,68,234,246,523,526,1
KR_6605086297,114,234,103,145,12,2,121,777,523,497,1
EUW1_6512335870,113,102,134,360,12,266,121,105,523,432,1
EUW1_6505633704,83,154,145,360,12,238,30,777,523,497,1
KR_6608986961,68,79,266,81,12,58,517,897,523,526,0
KR_6607138491,58,64,517,145,12,4,203,24,523,111,0
NA1_4717584068,24,141,18,30,12,517,107,61,523,40,1
EUW1_6510863886,86,121,163,360,12,166,113,68,523,526,1
KR_6609858778,58,203,136,360,12,56,427,517,523,526,1
EUW1_6513165258,85,35,236,145,12,58,121,7,523,412,1
EUW1_6510530664,266,64,54,18,12,164,60,126,523,117,1
EUW1_6513626779,24,76,39,119,526,2,68,55,523,888,1
KR_6607475817,266,64,55,498,526,77,131,18,523,497,1
KR_6606325409,68,104,127,119,526,150,30,18,523,555,1
EUW1_6511365431,266,113,69,360,526,166,78,238,523,412,0
KR_6608993414,266,121,61,498,526,133,14,127,523,888,0
KR_6606853703,58,517,145,518,526,24,113,127,523,12,0
KR_6609327741,266,62,163,145,526,133,234,268,523,111,0
NA1_4721369652,78,200,18,115,526,24,35,7,523,412,0
EUW1_6512460994,68,234,163,498,526,39,76,166,523,902,0
EUW1_6511119133,77,107,518,145,526,24,245,91,523,40,0
EUW1_6511142395,875,9,92,360,526,2,60,238,523,16,0
KR_6603495133,106,121,1,360,526,36,245,268,523,89,0
EUW1_6507642682,114,64,777,498,526,24,19,69,523,111,0
KR_6606395580,68,120,103,119,526,58,35,112,523,201,0
EUW1_6511824164,875,234,35,498,526,41,200,50,523,12,1
NA1_4720944670,79,427,238,119,526,69,91,126,523,555,1
EUW1_6509256890,126,28,18,222,526,516,64,61,523,40,1
KR_6604464081,98,64,127,360,526,107,203,134,523,412,0
KR_6605710320,58,106,161,145,526,221,91,76,523,412,1
KR_6606123070,266,78,1,119,526,157,104,84,523,12,0
EUW1_6508437820,85,203,90,18,526,266,57,42,523,143,0
KR_6605026162,54,517,18,222,526,24,427,126,523,12,1
KR_6603999406,23,57,18,21,526,68,64,20,523,111,0
EUW1_6509675709,113,234,105,81,526,68,107,238,523,12,1
EUW1_6509132134,126,113,75,145,526,92,11,4,523,497,0
EUW1_6507453514,24,876,246,81,526,58,76,39,523,40,1
KR_6608067383,24,35,268,145,526,58,203,127,523,44,1
KR_6608442438,114,131,777,145,526,266,76,1,523,12,0
EUW1_6507948354,516,234,103,222,526,23,113,1,523,555,0
NA1_4719368756,86,950,55,360,526,27,9,238,523,143,1
KR_6607784520,17,121,103,145,526,58,126,30,523,497,0
EUW1_6506912571,68,60,126,145,526,31,59,101,523,412,1
KR_6609092444,2,79,127,145,526,24,64,4,523,44,0
KR_6602290239,69,64,127,119,526,82,234,3,523,117,1
EUW1_6512260776,24,154,126,81,526,516,234,84,523,412,0
EUW1_6510336701,166,427,112,360,526,516,200,103,523,350,1
NA1_4719606387,266,427,518,21,526,27,64,134,523,267,0
EUW1_6506688997,10,427,18,145,526,114,78,134,523,99,0
EUW1_6512803302,126,56,134,498,526,80,11,268,523,497,0
EUW1_6510592323,86,76,126,81,526,516,203,134,523,412,0
KR_6608678740,106,62,112,145,526,78,68,777,523,12,1
KR_6603344405,166,9,18,145,526,126,60,136,523,497,0
EUW1_6511389141,150,200,101,145,526,68,121,134,523,412,1
NA1_4720099918,126,421,61,145,526,420,30,166,523,555,0
KR_6607697868,122,200,163,360,526,98,121,61,523,412,1
EUW1_6508165208,266,28,103,145,526,68,77,238,523,143,1
NA1_4717520114,897,131,157,145,526,266,143,58,523,412,1
EUW1_6512047555,75,79,246,145,526,19,57,69,523,902,1
KR_6607303518,266,64,13,145,526,126,234,84,523,111,1
EUW1_6507292434,164,203,7,145,526,58,79,18,523,161,1
NA1_4719319332,2,234,163,360,526,85,131,157,523,12,0
EUW1_6512256970,516,102,7,145,526,266,203,13,523,412,1
KR_6604524171,107,64,3,498,526,897,200,268,523,412,1
EUW1_6506992155,897,64,134,145,526,234,14,103,523,111,1
KR_6609870353,41,78,134,145,526,58,64,518,523,888,1
KR_6606265558,58,78,126,145,526,897,421,517,523,201,1
KR_6604748855,44,234,1,145,526,150,121,134,523,12,1
EUW1_6509813244,35,104,84,145,526,80,245,246,523,101,0
EUW1_6513022862,14,427,157,498,526,122,79,18,523,40,0
KR_6607219385,56,121,518,145,526,58,104,101,523,12,1
KR_6605758364,24,62,103,145,526,79,950,518,523,53,0
EUW1_6508285094,126,203,134,222,526,266,78,84,523,412,1
KR_6609216705,79,64,266,360,526,78,131,517,523,12,0
EUW1_6512741648,24,33,8,119,526,141,427,10,523,26,0
NA1_4718583708,68,104,166,145,526,897,11,1,523,412,0
EUW1_6507549615,266,121,7,202,526,516,131,157,523,497,1
KR_6604522916,8,234,103,145,526,518,64,126,523,22,1
NA1_4720558839,68,11,238,202,526,266,56,13,523,235,1
NA1_4718720160,54,120,127,498,526,23,427,517,523,12,1
KR_6604072330,24,234,103,145,526,2,20,246,523,12,0
NA1_4722005789,777,234,887,145,526,114,432,34,523,77,1
EUW1_6509974577,68,421,84,119,526,58,76,112,523,888,1
KR_6603852851,23,131,7,145,526,41,78,99,523,12,1
KR_6608028096,85,131,166,145,526,24,78,69,523,497,1
KR_6606216149,17,203,126,145,526,266,104,7,523,111,1
KR_6606611327,516,64,157,145,526,67,76,238,523,53,1
KR_6607230138,58,64,4,145,526,33,234,112,523,35,0
NA1_4721975599,92,76,50,119,526,114,203,99,523,101,1
EUW1_6510821822,78,427,101,360,526,266,57,518,523,40,1
EUW1_6513119440,777,76,157,145,526,266,234,103,523,412,0
EUW1_6512765714,516,35,23,145,526,63,107,103,523,412,1
EUW1_6507931515,19,876,91,360,526,83,56,103,523,412,0
KR_6604010506,79,78,18,145,526,107,113,166,523,201,1
EUW1_6510715093,79,76,18,21,526,516,200,518,523,40,0
NA1_4719771181,92,76,133,145,526,24,107,7,523,111,0
NA1_4719561247,58,203,161,115,526,114,234,112,523,518,1
KR_6603408771,58,76,777,145,526,24,234,268,523,111,0
EUW1_6508558781,114,427,11,29,526,24,57,126,523,79,1
NA1_4720534143,166,28,18,81,526,2,76,518,523,37,1
NA1_4720273924,950,154,157,145,526,41,78,79,523,63,0
EUW1_6511068409,54,28,4,360,526,777,120,157,523,412,0
NA1_4719611308,92,154,91,145,526,86,104,3,523,40,1
NA1_4718445156,268,104,18,145,526,78,234,777,523,201,0
NA1_4720230148,98,121,50,221,526,24,154,157,523,412,0
EUW1_6508903807,68,60,55,145,526,122,28,18,523,12,1
KR_6607805961,68,80,163,498,526,126,60,266,523,497,1
EUW1_6509976156,98,113,7,498,526,14,76,91,523,12,1
EUW1_6506592040,266,234,518,18,526,2,30,91,523,12,1
NA1_4717519427,122,421,142,119,526,24,107,427,523,111,0
EUW1_6509917762,113,35,103,360,526,114,876,23,523,12,0
EUW1_6512670349,58,421,99,119,526,266,120,103,523,16,1
EUW1_6508376058,69,9,777,145,526,39,72,61,523,74,0
KR_6607288302,420,131,18,145,526,266,28,897,523,201,1
KR_6603334680,68,76,7,145,526,2,20,517,523,497,0
NA1_4721043444,777,141,112,119,526,114,59,38,523,432,0
KR_6603913389,68,154,777,81,526,157,113,268,523,111,1
KR_6608839956,68,64,18,360,526,57,131,238,523,89,1
EUW1_6511856151,516,79,91,119,526,58,59,163,523,412,0
NA1_4718546508,68,266,7,86,526,154,64,55,523,412,1
KR_6607095087,266,876,18,145,526,83,121,161,523,497,0
EUW1_6507260637,80,76,103,145,526,150,141,105,523,43,0
KR_6606976579,114,9,517,360,526,266,203,55,523,201,0
EUW1_6511236092,266,141,7,145,16,80,30,897,523,117,1
KR_6609858719,54,107,34,81,16,102,60,142,523,111,0
EUW1_6512763118,58,5,103,119,16,420,427,68,523,111,1
KR_6603992155,114,104,68,498,16,2,62,34,523,111,0
EUW1_6506526379,41,77,127,22,16,133,200,268,523,555,1
KR_6606294171,266,91,112,81,16,58,76,101,523,32,0
KR_6605704948,85,113,84,145,16,266,950,517,523,432,1
EUW1_6511555287,79,64,61,22,16,58,203,131,523,412,0
NA1_4719213407,24,20,1,222,16,75,876,166,523,111,1
EUW1_6509540909,9,60,950,81,16,39,120,55,523,412,0
